Distance_Min,Distance_Max,Distance_Mid,Frequency
0.0,1.0,0.5,5.881660981061052e-06
1.0,2.0,1.5,5.881660981061052e-06
2.0,3.0,2.5,5.881660981061052e-06
3.0,4.0,3.5,5.881660981061052e-06
4.0,5.0,4.5,5.881660981061052e-06
5.0,6.0,5.5,5.881660981061052e-06
6.0,7.0,6.5,5.881660981061052e-06
7.0,8.0,7.5,5.881660981061052e-06
8.0,9.0,8.5,5.881660981061052e-06
9.0,10.0,9.5,5.881660981061052e-06
10.0,11.0,10.5,0.05882249147159158
11.0,12.0,11.5,0.11763910128220212
12.0,13.0,12.5,5.881660981061052e-06
13.0,14.0,13.5,5.881660981061052e-06
14.0,15.0,14.5,0.11763910128220212
15.0,16.0,15.5,0.29408893071403364
16.0,17.0,16.5,0.05882249147159158
17.0,18.0,17.5,0.11763910128220212
18.0,19.0,18.5,0.11763910128220212
19.0,20.0,19.5,0.11763910128220212
